Sample1;IR88888-UBN3-4;Sample3;
IR05F102/IR 93312-30-101-20-3-66-6;IR05F102;IR 93312-30-101-20-13-64-21;
IR07F291/IR10L137;IR05F102;IR 93312-30-101-20-3-66-6;
IR07F291/IR10L149;IR07F291;IR10L137;
IR09F173/IR 50;IR07F291;IR10L149;
IR09F173/IR 66;IR09F173;IR 50;
IR09F436/KALA RATA 1-24;IR09F173;IR 66;
IR09F437/KHO;IR09F436;KHAIYAN;
IR09F437/IR 97703-457-42-13;IR09F437;KHO;
IR10F109/IR 97703-468-21-39;IR09F437;IR 97703-457-42-13;
IR10F109/MANAWTHUKHA;IR10F109;IR 97703-468-21-39;
IR10F187/IRRI 127;IR10F109;MANAWTHUKHA;
IR10F187/IRRI 134;IR10F187;IRRI 127;
IR10F192/MA ZHAN (RED);IR10F187;IRRI 134;
IR10F192/MEKONGGA;IR10F192;MA ZHAN (RED);
IR10F198/MTU 1010;IR10F192;MEKONGGA;
IR10F198/NANHI;IR10F198;MTU 1010;
IR10F203/NSICRC 112;IR10F198;NANHI;
IR10F203/NSIC RC 146;IR10F203;NSICRC 112;
IR10F221/OM 4498;IR10F203;NSIC RC 146;
IR10F221/PH 218-5-3-1;IR10F221;OM 4498;
IRRI 119/TKM 9;IRRI 119;SAN HUANG ZHAN NO 2;
IR 72046-B-R-3/A 69-1;IRRI 119;TKM 9;
IR 72046-B-R-3/AZUCENA;IR 72046-B-R-3;A 69-1;
IR07T118/CENTAURO;IR 72046-B-R-3;AZUCENA;
IR07T118/COLOMBIA XXI;IR07T118;CENTAURO;
IR07T118/DASAN;IR07T118;COLOMBIA XXI;
MANAW THUKHA/DULAR;IR07T118;DASAN;
MANAW THUKHA/FEDEARROZ 2000;MANAW THUKHA;DULAR;
MANAW THUKHA/FEDEARROZ 21;MANAW THUKHA;FEDEARROZ 2000;
SADRI/FEDEARROZ 473;MANAW THUKHA;FEDEARROZ 21;
SADRI/FEDEARROZ MOCARE;SADRI;FEDEARROZ 473;
IR 13240-108-2-2-3/GIZA 178;SADRI;FEDEARROZ MOCARE;
IR 13240-108-2-2-3/IDSA 77;IR 13240-108-2-2-3;GIZA 178;
ITA 306/IR 2006-P12-12-2-2;IR 13240-108-2-2-3;IDSA 77;
ITA 306/IR 2307-247-2-2-3;ITA 306;IR 2006-P12-12-2-2;
FH 132/IR 6 (PAKISTAN);ITA 306;IR 2307-247-2-2-3;
SARO 5/IR10C112;FH 132;IR 72;
SARO 5/IR10C114;SARO 5;IR10C112;
SR 26 B/IR10C126;SARO 5;IR10C114;
SR 26 B/IR10C135;SR 26 B;IR10C126;
SUPA/IR10C140;SR 26 B;IR10C135;
SUPA/IR10C141;SUPA;IR10C140;
SWARNA/IR10C144;SUPA;IR10C141;
SWARNA/CENTAURO;SWARNA;IR10C144;
TCCP 266-1-3B-13-1-3/COLOMBIA XXI;SWARNA;CENTAURO;
NONA BOKRA/FEDEARROZ 2000;NONA BOKRA;DULAR;
NONA BOKRA/FEDEARROZ 21;NONA BOKRA;FEDEARROZ 2000;
IR11T213/FEDEARROZ 473;NONA BOKRA;FEDEARROZ 21;
IR11T213/FEDEARROZ MOCARE;IR11T213;FEDEARROZ 473;
IR11T213/GIZA 178;IR11T213;FEDEARROZ MOCARE;
IR11T189/IDSA 77;IR11T213;GIZA 178;
IR11T189/IR 2006-P12-12-2-2;IR11T189;IDSA 77;
IR11T189/IR 2307-247-2-2-3;IR11T189;IR 2006-P12-12-2-2;
IR 85891-9-2-1-AJY 1-B/IR 6 (PAKISTAN);IR11T189;IR 2307-247-2-2-3;
IR 85891-9-2-1-AJY 1-B/IR 72;IR 85891-9-2-1-AJY 1-B;IR 6 (PAKISTAN);
IR 85891-9-2-1-AJY 1-B/IR10C112;IR 85891-9-2-1-AJY 1-B;IR 72;
IR 85891-B-B-AJY 1-B/IR10C114;IR 85891-9-2-1-AJY 1-B;IR10C112;
IR 85891-B-B-AJY 1-B/IR10C126;IR 85891-B-B-AJY 1-B;IR10C114;
IR 85891-B-B-AJY 1-B/IR10C135;IR 85891-B-B-AJY 1-B;IR10C126;
IR 84649-97-3-1-B-B/IR10C140;IR 85891-B-B-AJY 1-B;IR10C135;
IR 84649-97-3-1-B-B/IR10C141;IR 84649-97-3-1-B-B;IR10C140;
IR 84649-97-3-1-B-B/IR10C144;IR 84649-97-3-1-B-B;IR10C141;
IR11T153/CENTAURO;IR 84649-97-3-1-B-B;IR10C144;
IR11T153/COLOMBIA XXI;IR11T153;CENTAURO;
IR11T153/DASAN;IR11T153;COLOMBIA XXI;
IR 85891-B-B-AJY 1-B-1-BAY B/DULAR;IR11T153;DASAN;
IR 85891-B-B-AJY 1-B-1-BAY B/FEDEARROZ 2000;IR 85891-B-B-AJY 1-B-1-BAY B;DULAR;
IR 85891-B-B-AJY 1-B-1-BAY B/FEDEARROZ 21;IR 85891-B-B-AJY 1-B-1-BAY B;FEDEARROZ 2000;
IR11T222/FEDEARROZ 473;IR 85891-B-B-AJY 1-B-1-BAY B;FEDEARROZ 21;
IR11T222/FEDEARROZ MOCARE;IR11T222;FEDEARROZ 473;
IR11T222/GIZA 178;IR11T222;FEDEARROZ MOCARE;
POKKALI/IDSA 77;IR11T222;GIZA 178;
POKKALI/IR 2006-P12-12-2-2;POKKALI;IDSA 77;
POKKALI/IR 2307-247-2-2-3;POKKALI;IR 2006-P12-12-2-2;
IR10C145/IR 68450-36-3-2-2-3;POKKALI;IR 2307-247-2-2-3;
IR10L411/IR 69428-6-1-1-3-3;IR10C145;IR 68450-36-3-2-2-3;
IR10L411/IR 69807-13-2-1;IR10L411;IR 69428-6-1-1-3-3;
IR10L411/IR 70114-5-3-3-3;IR10L411;IR 69807-13-2-1;
IR10L411/IR 01W102;IR10L411;IR 70114-5-3-3-3;
BG 90-2/IRRI 145;IR10L411;IR 01W102;
BG 90-2/IR 71146-97-1-2-1-3;BG 90-2;IRRI 145;
BG 90-2/IR 71676-90-2-2;BG 90-2;IR 71146-97-1-2-1-3;
BG 90-2/IR 71701-28-1-4;BG 90-2;IR 71676-90-2-2;
IR 45912-9-1-2-2/IR 72164-348-6-2-2-2;BG 90-2;IR 71701-28-1-4;
IR 45912-9-1-2-2/IR 72225-20-3-2-3;IR 45912-9-1-2-2;IR 72164-348-6-2-2-2;
IR 45912-9-1-2-2/IR 72870-19-2-2-3;IR 45912-9-1-2-2;IR 72225-20-3-2-3;
IR 45912-9-1-2-2/IR 72875-94-3-3-2;IR 45912-9-1-2-2;IR 72870-19-2-2-3;
IR 02W101/IR 72903-121-2-1-2;IR 45912-9-1-2-2;IR 72875-94-3-3-2;
IR 02W101/IR 72967-12-2-3;IR 02W101;IR 72903-121-2-1-2;
IR 02W101/IR 72969-143-5-3-6-2;IR 02W101;IR 72967-12-2-3;
IR 02W101/IR 73006-12-3-3-2;IR 02W101;IR 72969-143-5-3-6-2;
IR 64680-81-2-2-1-3/IR 73012-137-2-2-2;IR 02W101;IR 73006-12-3-3-2;
IR 64680-81-2-2-1-3/IR 00A115;IR 64680-81-2-2-1-3;IR 73012-137-2-2-2;
IR 64680-81-2-2-1-3/IR 73720-36-3-3-1;IR 64680-81-2-2-1-3;IR 00A115;
IR 64680-81-2-2-1-3/IR 00A117;IR 64680-81-2-2-1-3;IR 73720-36-3-3-1;
IR 65450-173-2-1-1-3-3/IR 01A111;IR 64680-81-2-2-1-3;IR 00A117;
IR 65450-173-2-1-1-3-3/IR 01N223;IR 65450-173-2-1-1-3-3;IR 01A111;
IR 65450-173-2-1-1-3-3/IR 02N200;IR 65450-173-2-1-1-3-3;IR 01N223;
IR 65450-173-2-1-1-3-3/IR 02N211;IR 65450-173-2-1-1-3-3;IR 02N200;
IR 65482-4-136-2-2-B/IR 02A201;IR 65450-173-2-1-1-3-3;IR 02N211;
IR 65482-4-136-2-2-B/IR 75862-206-2-8-3-B-B-B;IR 65482-4-136-2-2-B;IR 02A201;
IR 65482-4-136-2-2-B/IRRI 146;IR 65482-4-136-2-2-B;IR 75862-206-2-8-3-B-B-B;
IR 65482-4-136-2-2-B/IRRI 143;IR 65482-4-136-2-2-B;IRRI 146;
IR 00A103/IR 03A477;IR 65482-4-136-2-2-B;IRRI 143;
IR 00A103/IR 04A213;IR 00A103;IR 03A477;
IR 00A103/IR 03A550;IR 00A103;IR 04A213;
IR 00A103/IR 03A568;IR 00A103;IR 03A550;
IR 65620-192-3-3-3-2/IR 04A285;IR 00A103;IR 03A568;
IR 65620-192-3-3-3-2/IRRI 154;IR 65620-192-3-3-3-2;IR 04A285;
IR 65620-192-3-3-3-2/IR 04A427;IR 65620-192-3-3-3-2;IRRI 154;
IR 65620-192-3-3-3-2/IR 05A117;IR 65620-192-3-3-3-2;IR 04A427;
IR 67966-44-2-3-2/IR 05A125;IR 65620-192-3-3-3-2;IR 05A117;
IR 67966-44-2-3-2/IR 05N128;IR 67966-44-2-3-2;IR 05A125;
IR 67966-44-2-3-2/IR 05N160;IR 67966-44-2-3-2;IR 05N128;
IR 67966-44-2-3-2/IR 05N170;IR 67966-44-2-3-2;IR 05N160;
IR 68144-2B-2-2-3-1-166/IR 05N173;IR 67966-44-2-3-2;IR 05N170;
IR 68144-2B-2-2-3-1-166/IR 05N181;IR 68144-2B-2-2-3-1-166;IR 05N173;
IR 68144-2B-2-2-3-1-166/IR 05N204;IR 68144-2B-2-2-3-1-166;IR 05N181;
IR 68144-2B-2-2-3-1-166/IR 06M138;IR 68144-2B-2-2-3-1-166;IR 05N204;
KALI AUS/IR 06M139;IR 68144-2B-2-2-3-1-166;IR 06M138;
KALI AUS/IR 06M146;KALI AUS;IR 06M139;
KALI AUS/IR 06N156;KALI AUS;IR 06M146;
KALI AUS/JORYEONGBYEO;KALI AUS;IR 06N156;
IR10C145/IR 49830-7-1-2-3;KALI AUS;JORYEONGBYEO;
IR10C145/IR 70181-32-PMI 1-1-5-1;IR10C145;IR 49830-7-1-2-3;
IR10C145/IR 05F102;IR10C145;IR 70181-32-PMI 1-1-5-1;
IR10C146/IR 09F120;IR10C145;IR 05F102;
IR10C146/IR 09F128;IR10C146;IR 09F120;
IR10C146/IRRI 149;IR10C146;IR 09F128;
