Sample1;IR88888-UBN3-4;Sample3;
MAJOR/IR 04A213;MAJOR;IR 03A477;
MAJOR/IR 03A550;MAJOR;IR 04A213;
LAPANG/IR 03A568;MAJOR;IR 03A550;
LAPANG/IR 04A285;LAPANG;IR 03A568;
LAPANG/IRRI 154;LAPANG;IR 04A285;
LAPANG/IR 04A427;LAPANG;IRRI 154;
BEA BALOK LOAS/IR 05A117;LAPANG;IR 04A427;
BEA BALOK LOAS/IR 05A125;BEA BALOK LOAS;IR 05A117;
BEA BALOK LOAS/IR 05N128;BEA BALOK LOAS;IR 05A125;
BEA BALOK LOAS/IR 05N160;BEA BALOK LOAS;IR 05N128;
RONTJE/IR 05N170;BEA BALOK LOAS;IR 05N160;
RONTJE/IR 05N173;RONTJE;IR 05N170;
RONTJE/IR 05N181;RONTJE;IR 05N173;
RONTJE/IR 05N204;RONTJE;IR 05N181;
LERI/IR 06M138;RONTJE;IR 05N204;
LERI/IR 06M139;LERI;IR 06M138;
LERI/IR 06M146;LERI;IR 06M139;
LERI/IR 06N156;LERI;IR 06M146;
BEAQ PENDJALIN/JORYEONGBYEO;LERI;IR 06N156;
BEAQ PENDJALIN/IR 49830-7-1-2-3;BEAQ PENDJALIN;JORYEONGBYEO;
BEAQ PENDJALIN/IR 70181-32-PMI 1-1-5-1;BEAQ PENDJALIN;IR 49830-7-1-2-3;
BEAQ PENDJALIN/IR 05F102;BEAQ PENDJALIN;IR 70181-32-PMI 1-1-5-1;
BUNGA MEHU/IR 09F120;BEAQ PENDJALIN;IR 05F102;
BUNGA MEHU/IR 09F128;BUNGA MEHU;IR 09F120;
BUNGA MEHU/IRRI 149;BUNGA MEHU;IR 09F128;
BUNGA MEHU/IR 07F287;BUNGA MEHU;IRRI 149;
CICIH GEDU/IR 09F146;BUNGA MEHU;IR 07F287;
CICIH GEDU/IR 09F154;CICIH GEDU;IR 09F146;
CICIH GEDU/IR 09F230;CICIH GEDU;IR 09F154;
CICIH GEDU/IR 09F226;CICIH GEDU;IR 09F230;
DJAMBUAN/IR 09F237;CICIH GEDU;IR 09F226;
DJAMBUAN/IR 09F238;DJAMBUAN;IR 09F237;
DJAMBUAN/IR 07F290;DJAMBUAN;IR 09F238;
DJAMBUAN/IR 07F291;DJAMBUAN;IR 07F290;
DJAWA MUGI/IR 07F289;DJAMBUAN;IR 07F291;
DJAWA MUGI/IR 09F260;DJAWA MUGI;IR 07F289;
DJAWA MUGI/IR 09F209;DJAWA MUGI;IR 09F260;
DJAWA MUGI/IR 09F218;DJAWA MUGI;IR 09F209;
GENDJAH URANG/IR 09F291;DJAWA MUGI;IR 09F218;
GENDJAH URANG/IR 67495-NDR 2-1-1-1-1;GENDJAH URANG;IR 09F291;
GENDJAH URANG/ANJALI;GENDJAH URANG;IR 67495-NDR 2-1-1-1-1;
GENDJAH URANG/BR 11;GENDJAH URANG;ANJALI;
LAMBANG PUTIH/IR 07F290;GENDJAH URANG;BR 11;
LAMBANG PUTIH/CT 9993-5-10-1-M;LAMBANG PUTIH;IR 07F290;
LAMBANG PUTIH/IRRI 149;LAMBANG PUTIH;CT 9993-5-10-1-M;
LAMBANG PUTIH/IR 71700-247-1-1-2;LAMBANG PUTIH;IRRI 149;
MANURUN BULU/IR 03L142;LAMBANG PUTIH;IR 71700-247-1-1-2;
MANURUN BULU/IRRI 148;MANURUN BULU;IR 03L142;
MANURUN BULU/IR 01A163;MANURUN BULU;IRRI 148;
MANURUN BULU/IR 77298-14-1-2-10;MANURUN BULU;IR 01A163;
SUKANANDI/IR 77298-5-6-18;MANURUN BULU;IR 77298-14-1-2-10;
SUKANANDI/IR 78875-176-B-2;SUKANANDI;IR 77298-5-6-18;
SUKANANDI/IR 78875-190-B-1-3;SUKANANDI;IR 78875-176-B-2;
SUKANANDI/IR 78908-143-B-4;SUKANANDI;IR 78875-190-B-1-3;
NOGO BELE 2/IR 78985-B-6-B-B-B;SUKANANDI;IR 78908-143-B-4;
NOGO BELE 2/IR 79913-B-176-B-4;NOGO BELE 2;IR 78985-B-6-B-B-B;
NOGO BELE 2/IR 79971-B-369;NOGO BELE 2;IR 79913-B-176-B-4;
NOGO BELE 2/IR 79971-B-381;NOGO BELE 2;IR 79971-B-369;
PARADA/IR 81039-B-173-U 3-3;NOGO BELE 2;IR 79971-B-381;
PARADA/IR 81063-B-94-U 3-1;PARADA;IR 81039-B-173-U 3-3;
PARADA/IR 68450-36-3-2-2-3;PARADA;IR 81063-B-94-U 3-1;
PARADA/IR 69428-6-1-1-3-3;PARADA;IR 68450-36-3-2-2-3;
PARE BEUREUM/IR 69807-13-2-1;PARADA;IR 69428-6-1-1-3-3;
PARE BEUREUM/IR 70114-5-3-3-3;PARE BEUREUM;IR 69807-13-2-1;
PARE BEUREUM/IR 01W102;PARE BEUREUM;IR 70114-5-3-3-3;
PARE BEUREUM/IRRI 145;PARE BEUREUM;IR 01W102;
PARE PUTIH SENGIH/IR 71146-97-1-2-1-3;PARE BEUREUM;IRRI 145;
PARE PUTIH SENGIH/IR 71676-90-2-2;PARE PUTIH SENGIH;IR 71146-97-1-2-1-3;
PARE PUTIH SENGIH/IR 71701-28-1-4;PARE PUTIH SENGIH;IR 71676-90-2-2;
PARE PUTIH SENGIH/IR 72164-348-6-2-2-2;PARE PUTIH SENGIH;IR 71701-28-1-4;
PELANGAN/IR 72225-20-3-2-3;PARE PUTIH SENGIH;IR 72164-348-6-2-2-2;
PELANGAN/IR 72870-19-2-2-3;PELANGAN;IR 72225-20-3-2-3;
PELANGAN/IR 72875-94-3-3-2;PELANGAN;IR 72870-19-2-2-3;
PELANGAN/IR 72903-121-2-1-2;PELANGAN;IR 72875-94-3-3-2;
BENONG 130/IR 72967-12-2-3;PELANGAN;IR 72903-121-2-1-2;
BENONG 130/IR 72969-143-5-3-6-2;BENONG 130;IR 72967-12-2-3;
BENONG 130/IR 73006-12-3-3-2;BENONG 130;IR 72969-143-5-3-6-2;
BENONG 130/IR 73012-137-2-2-2;BENONG 130;IR 73006-12-3-3-2;
PULUT BOLONG/IR 00A115;BENONG 130;IR 73012-137-2-2-2;
PULUT BOLONG/IR 73720-36-3-3-1;PULUT BOLONG;IR 00A115;
PULUT BOLONG/IR 00A117;PULUT BOLONG;IR 73720-36-3-3-1;
PULUT BOLONG/IR 01A111;PULUT BOLONG;IR 00A117;
MAUNI/IR 01N223;PULUT BOLONG;IR 01A111;
MAUNI/IR 02N200;MAUNI;IR 01N223;
MAUNI/IR 02N211;MAUNI;IR 02N200;
MAUNI/IR 02A201;MAUNI;IR 02N211;
B 1050 D-KN-1-1-1-1-3/IR 75862-206-2-8-3-B-B-B;MAUNI;IR 02A201;
MTU 1010/IR 03A550;MTU 1010;IR 04A213;
MTU 1010/IR 03A568;MTU 1010;IR 03A550;
MTU 1010/IR 04A285;MTU 1010;IR 03A568;
IRRI 123/IRRI 154;MTU 1010;IR 04A285;
IRRI 123/IR 04A427;IRRI 123;IRRI 154;
IRRI 123/IR 05A117;IRRI 123;IR 04A427;
IRRI 123/IR 05A125;IRRI 123;IR 05A117;
DULAR/IR 05N128;IRRI 123;IR 05A125;
DULAR/IR 05N160;DULAR;IR 05N128;
DULAR/IR 05N170;DULAR;IR 05N160;
DULAR/IR 05N173;DULAR;IR 05N170;
NERICA 5/IR 05N181;DULAR;IR 05N173;
NERICA 5/IR 05N204;NERICA 5;IR 05N181;
NERICA 5/IR 06M138;NERICA 5;IR 05N204;
NERICA 5/IR 06M139;NERICA 5;IR 06M138;
NERICA-L-31/IR 06M146;NERICA 5;IR 06M139;
NERICA-L-31/IR 06N156;NERICA-L-31;IR 06M146;
NERICA-L-31/JORYEONGBYEO;NERICA-L-31;IR 06N156;
NERICA-L-31/IR 49830-7-1-2-3;NERICA-L-31;JORYEONGBYEO;
NERICA 8/IR 70181-32-PMI 1-1-5-1;NERICA-L-31;IR 49830-7-1-2-3;
NERICA 8/IR 05F102;NERICA 8;IR 70181-32-PMI 1-1-5-1;
NERICA 8/IR 09F120;NERICA 8;IR 05F102;
NERICA 8/IR 09F128;NERICA 8;IR 09F120;
NERICA 14/IRRI 149;NERICA 8;IR 09F128;
NERICA 14/IR 07F287;NERICA 14;IRRI 149;
NERICA 14/IR 09F146;NERICA 14;IR 07F287;
NERICA 14/IR 09F154;NERICA 14;IR 09F146;
NERICA 7/IR 09F230;NERICA 14;IR 09F154;
NERICA 7/IR 09F226;NERICA 7;IR 09F230;
NERICA 7/IR 09F237;NERICA 7;IR 09F226;
NERICA 7/IR 09F238;NERICA 7;IR 09F237;
IR09L204/IR 07F290;NERICA 7;IR 09F238;
IR09L204/IR 07F291;IR09L204;IR 07F290;
IR09L204/IR 07F289;IR09L204;IR 07F291;
IR09L204/IR 09F260;IR09L204;IR 07F289;
IR09L120/IR 09F209;IR09L204;IR 09F260;
IR09L120/IR 09F218;IR09L120;IR 09F209;
IR09L120/IR 09F291;IR09L120;IR 09F218;
IR09L120/IR 67495-NDR 2-1-1-1-1;IR09L120;IR 09F291;
IR09L337/ANJALI;IR09L120;IR 67495-NDR 2-1-1-1-1;
IR09L337/BR 11;IR09L337;ANJALI;
IR09L337/IR 07F290;IR09L337;BR 11;
IR09L337/CT 9993-5-10-1-M;IR09L337;IR 07F290;
IR08L181/IR 71700-247-1-1-2;IR08L181;IRRI 149;
IR08L181/IR 03L142;IR08L181;IR 71700-247-1-1-2;
IR08L181/IRRI 148;IR08L181;IR 03L142;
IR09L342/IR 01A163;IR08L181;IRRI 148;
IR09L342/IR 77298-14-1-2-10;IR09L342;IR 01A163;
IR09L342/IR 77298-5-6-18;IR09L342;IR 77298-14-1-2-10;
IR09L342/IR 78875-176-B-2;IR09L342;IR 77298-5-6-18;
IR09L336/IR 78875-190-B-1-3;IR09L342;IR 78875-176-B-2;
IR09L336/IR 78908-143-B-4;IR09L336;IR 78875-190-B-1-3;
IR09L336/IR 78985-B-6-B-B-B;IR09L336;IR 78908-143-B-4;
IR09L336/IR 79913-B-176-B-4;IR09L336;IR 78985-B-6-B-B-B;
IR09L303/IR 79971-B-369;IR09L336;IR 79913-B-176-B-4;
IR09L303/IR 79971-B-381;IR09L303;IR 79971-B-369;
IR09L303/IR 81039-B-173-U 3-3;IR09L303;IR 79971-B-381;
IR09L303/IR 81063-B-94-U 3-1;IR09L303;IR 81039-B-173-U 3-3;
IR 07L270/IR 86918-B-92;IR09L303;IR 81063-B-94-U 3-1;
IR 07L276/IR 86929-B-128;IR 07L270;IR 86918-B-92;
IR 07L276/IR 86929-B-159;IR 07L276;IR 86929-B-128;
IR 07L276/IR 86929-B-45;IR 07L276;IR 86929-B-159;
IR 07L276/IR 86929-B-464;IR 07L276;IR 86929-B-45;
IR 08L126/IR 86929-B-482;IR 07L276;IR 86929-B-464;
IR 08L126/IR 86931-B-13;IR 08L126;IR 86929-B-482;
IR 08L126/IR 86931-B-294;IR 08L126;IR 86931-B-13;
IR 08L126/IR 86931-B-301;IR 08L126;IR 86931-B-294;
IR 07L270/IR 86931-B-346;IR 08L126;IR 86931-B-301;
IR 07L270/IR 86931-B-373;IR 07L270;IR 86931-B-346;
IR 07L270/IR 86931-B-400;IR 07L270;IR 86931-B-373;
IR 83827-85-2-2/IR 86931-B-414;IR 07L270;IR 86931-B-400;
IR 83827-85-2-2/IR 86931-B-519;IR 83827-85-2-2;IR 86931-B-414;
IR 83827-85-2-2/IR 86931-B-521;IR 83827-85-2-2;IR 86931-B-519;
IR 83827-85-2-2/IR 86931-B-552;IR 83827-85-2-2;IR 86931-B-521;
IR 09A131/IR 88286-111-1;IR 83827-85-2-2;IR 86931-B-552;
IR 09A131/IR 88286-146-1;IR 09A131;IR 88286-111-1;
IR 09A131/IR 88286-171-1;IR 09A131;IR 88286-146-1;
IR 09A131/IR 88286-398-1;IR 09A131;IR 88286-171-1;
IR 09A130/IR 88286-416-1;IR 09A131;IR 88286-398-1;
IR 09A130/IR 88286-465-1;IR 09A130;IR 88286-416-1;
IR 09A130/IR 88287-131-1;IR 09A130;IR 88286-465-1;
IR 09A130/IR 88287-180-1;IR 09A130;IR 88287-131-1;
IR 09A138/IR 88287-19-1;IR 09A130;IR 88287-180-1;
IR 09A138/IR 86918-B-92;IR 09A138;IR 88287-19-1;
IR 09A138/IR 86929-B-128;IR 09A138;IR 86918-B-92;
IR 09A138/IR 86929-B-159;IR 09A138;IR 86929-B-128;
IR 82786-79-3-3-2-3/IR 86929-B-45;IR 09A138;IR 86929-B-159;
IR 82786-79-3-3-2-3/IR 86929-B-464;IR 82786-79-3-3-2-3;IR 86929-B-45;
IR 82786-79-3-3-2-3/IR 86929-B-482;IR 82786-79-3-3-2-3;IR 86929-B-464;
IR 82786-79-3-3-2-3/IR 86931-B-13;IR 82786-79-3-3-2-3;IR 86929-B-482;
IR 82793-39-2-2-2-2/IR 86931-B-294;IR 82786-79-3-3-2-3;IR 86931-B-13;
IR 82793-39-2-2-2-2/IR 86931-B-301;IR 82793-39-2-2-2-2;IR 86931-B-294;
IR 82793-39-2-2-2-2/IR 86931-B-346;IR 82793-39-2-2-2-2;IR 86931-B-301;
IR 82793-39-2-2-2-2/IR 86931-B-373;IR 82793-39-2-2-2-2;IR 86931-B-346;
IR 09N496/IR 86931-B-400;IR 82793-39-2-2-2-2;IR 86931-B-373;
IR 09N496/IR 86931-B-414;IR 09N496;IR 86931-B-400;
IR 09N496/IR 86931-B-519;IR 09N496;IR 86931-B-414;
IR 09N496/IR 86931-B-521;IR 09N496;IR 86931-B-519;
IR 83306-93-2-3-2/IR 86931-B-552;IR 09N496;IR 86931-B-521;
IR 83306-93-2-3-2/IR 88286-111-1;IR 83306-93-2-3-2;IR 86931-B-552;
IR 83306-93-2-3-2/IR 88286-146-1;IR 83306-93-2-3-2;IR 88286-111-1;
IR 83306-93-2-3-2/IR 88286-171-1;IR 83306-93-2-3-2;IR 88286-146-1;
IR 09N530/IR 88286-398-1;IR 83306-93-2-3-2;IR 88286-171-1;
IR 09N530/IR 88286-416-1;IR 09N530;IR 88286-398-1;
IR 09N530/IR 88286-465-1;IR 09N530;IR 88286-416-1;
IR 09N530/IR 88287-131-1;IR 09N530;IR 88286-465-1;
IR 83722-105-2-2-1/IR 88287-180-1;IR 09N530;IR 88287-131-1;
IR 83722-105-2-2-1/IR 88287-19-1;IR 83722-105-2-2-1;IR 88287-180-1;
IR 83722-105-2-2-1/IR 86918-B-92;IR 83722-105-2-2-1;IR 88287-19-1;
IR 83722-105-2-2-1/IR 86929-B-128;IR 83722-105-2-2-1;IR 86918-B-92;
IR 81896-B-B-195/IR 86929-B-159;IR 83722-105-2-2-1;IR 86929-B-128;
IR 81896-B-B-195/IR 86929-B-45;IR 81896-B-B-195;IR 86929-B-159;
IR 81896-B-B-195/IR 86929-B-464;IR 81896-B-B-195;IR 86929-B-45;
IR 81896-B-B-195/IR 86929-B-482;IR 81896-B-B-195;IR 86929-B-464;
IR 08L119/IR 86931-B-13;IR 81896-B-B-195;IR 86929-B-482;
IR 08L119/IR 86931-B-294;IR 08L119;IR 86931-B-13;
IR 08L119/IR 86931-B-301;IR 08L119;IR 86931-B-294;
IR 08L119/IR 86931-B-346;IR 08L119;IR 86931-B-301;
IR 06L126/IR 86931-B-373;IR 08L119;IR 86931-B-346;
IR 06L126/IR 86931-B-400;IR 06L126;IR 86931-B-373;
IR 06L126/IR 86931-B-414;IR 06L126;IR 86931-B-400;
IR 06L126/IR 86931-B-519;IR 06L126;IR 86931-B-414;
IR 07L217/IR 86931-B-521;IR 06L126;IR 86931-B-519;
IR 07L217/IR 86931-B-552;IR 07L217;IR 86931-B-521;
IR 07L217/IR 88286-111-1;IR 07L217;IR 86931-B-552;
IR 07L217/IR 88286-146-1;IR 07L217;IR 88286-111-1;
IR 07L225/IR 88286-171-1;IR 07L217;IR 88286-146-1;
IR 07L225/IR 88286-398-1;IR 07L225;IR 88286-171-1;
IR 07L225/IR 88286-416-1;IR 07L225;IR 88286-398-1;
IR 07L225/IR 88286-465-1;IR 07L225;IR 88286-416-1;
IR 86918-B-470/IR 88287-131-1;IR 07L225;IR 88286-465-1;
IR 86918-B-470/IR 88287-180-1;IR 86918-B-470;IR 88287-131-1;
IR 86918-B-470/IR 88287-19-1;IR 86918-B-470;IR 88287-180-1;
IR 86918-B-470/IR 88286-398-1;IR 86918-B-470;IR 88287-19-1;
IR 86918-B-439/IR 88286-416-1;IR 86918-B-470;IR 88286-398-1;
IR 86918-B-439/IR 88286-465-1;IR 86918-B-439;IR 88286-416-1;
IR 86918-B-439/IR 88287-131-1;IR 86918-B-439;IR 88286-465-1;
IR 86918-B-439/IR 88287-180-1;IR 86918-B-439;IR 88287-131-1;
IR 86918-B-382/IR 88287-19-1;IR 86918-B-439;IR 88287-180-1;
IR 86918-B-382/IR 86918-B-92;IR 86918-B-382;IR 88287-19-1;
IR 86918-B-382/IR 86929-B-128;IR 86918-B-382;IR 86918-B-92;
IR 86918-B-382/IR 86929-B-159;IR 86918-B-382;IR 86929-B-128;
IR 86918-B-315/IR 86929-B-45;IR 86918-B-382;IR 86929-B-159;
IR 86918-B-315/IR 86929-B-464;IR 86918-B-315;IR 86929-B-45;
IR 86918-B-315/IR 86929-B-482;IR 86918-B-315;IR 86929-B-464;
IR 86918-B-315/IR 86931-B-13;IR 86918-B-315;IR 86929-B-482;
IR 09L242/IR 86931-B-294;IR 86918-B-315;IR 86931-B-13;
IR 09L242/IR 86931-B-301;IR 09L242;IR 86931-B-294;
IR 09L242/IR 86931-B-346;IR 09L242;IR 86931-B-301;
IR 09L242/IR 86931-B-373;IR 09L242;IR 86931-B-346;
IR 09L324/IR 86931-B-400;IR 09L242;IR 86931-B-373;
IR 09L324/IR 86931-B-414;IR 09L324;IR 86931-B-400;
IR 09L324/IR 86931-B-519;IR 09L324;IR 86931-B-414;
IR 09L324/IR 86931-B-521;IR 09L324;IR 86931-B-519;
IR 09L224/IR 86931-B-552;IR 09L324;IR 86931-B-521;
IR 09L224/IR 88286-111-1;IR 09L224;IR 86931-B-552;
IR 09L224/IR 88286-146-1;IR 09L224;IR 88286-111-1;
IR 09L224/IR 88286-171-1;IR 09L224;IR 88286-146-1;
IR 09L343/IR 88286-398-1;IR 09L224;IR 88286-171-1;
IR 09L343/IR 88286-416-1;IR 09L343;IR 88286-398-1;
IR 09L343/IR 88286-465-1;IR 09L343;IR 88286-416-1;
IR 09L343/IR 88287-131-1;IR 09L343;IR 88286-465-1;
IR 09L332/IR 88287-180-1;IR 09L343;IR 88287-131-1;
IR 09L332/IR 88287-19-1;IR 09L332;IR 88287-180-1;
IR 09L332/IR 88286-398-1;IR 09L332;IR 88287-19-1;
IR 09L332/IR 88286-416-1;IR 09L332;IR 88286-398-1;
IR 88287-180-1/IR 88286-465-1;IR 09L332;IR 88286-416-1;
IR 88287-19-1/IR 88287-131-1;IR 88287-180-1;IR 88286-465-1;
IR 88287-215-1/OM 4498;IR 88287-19-1;IR 88287-131-1;
VANDANA/OM 4900;IR 88287-215-1;OM 4498;
VANDANA/IRRI 123;VANDANA;OM 4900;
VANDANA/PUSA BASMATI 1;VANDANA;IRRI 123;
VANDANA/SADRI;VANDANA;PUSA BASMATI 1;
VANDANA/IR 13240-108-2-2-3;VANDANA;SADRI;
IR 4630-22-2-5-1-3/ITA 306;VANDANA;IR 13240-108-2-2-3;
IR 4630-22-2-5-1-3/IR 45427-2B-2-2B-1-1;IR 4630-22-2-5-1-3;ITA 306;
IR 4630-22-2-5-1-3/IR 55179-3B-11-3;IR 4630-22-2-5-1-3;IR 45427-2B-2-2B-1-1;
IR 4630-22-2-5-1-3/IR 64197-3B-3-1;IR 4630-22-2-5-1-3;IR 55179-3B-11-3;
IR 4630-22-2-5-1-3/IR 65196-3B-5-2-2;IR 4630-22-2-5-1-3;IR 64197-3B-3-1;
IR 66946-3R-178-1-1/CSR 28;IR 4630-22-2-5-1-3;IR 65196-3B-5-2-2;
IR 66946-3R-178-1-1/IR 74099-3R-3-3;IR 66946-3R-178-1-1;CSR 28;
IR 66946-3R-178-1-1/IR 73571-3B-14-1;IR 66946-3R-178-1-1;IR 74099-3R-3-3;
IR 66946-3R-178-1-1/SAMBHA MAHSURI;IR 66946-3R-178-1-1;IR 73571-3B-14-1;
IR 66946-3R-178-1-1/FH132;IR 66946-3R-178-1-1;SAMBHA MAHSURI;
MTU 1010/SR 26 B;IR 66946-3R-178-1-1;FH132;
MTU 1010/SUPA;MTU 1010;SR 26 B;
MTU 1010/SWARNA;MTU 1010;SUPA;
MTU 1010/CENTAURO;MTU 1010;SWARNA;
MTU 1010/COLOMBIA XXI;MTU 1010;CENTAURO;
SABITRI/CT 6946-9-1-2-M-1P;MTU 1010;COLOMBIA XXI;
SABITRI/FL 1028-8P-3-2P-1P-M-2X-3P-1P;SABITRI;DULAR;
SAMBHA MAHSURI/GIZA 178;SAMBHA MAHSURI;GIZA 159;
SAMBHA MAHSURI/GOCHI BORO;SAMBHA MAHSURI;GIZA 178;
SAMBHA MAHSURI/IDSA 77;SAMBHA MAHSURI;GOCHI BORO;
SWARNA/IR 2307-247-2-2-3;SAMBHA MAHSURI;IDSA 77;
SWARNA/IR 6;SWARNA;IR 2307-247-2-2-3;
SWARNA/IR 64;SWARNA;IR 6;
SWARNA/IR 75499-53-1;SWARNA;IR 64;
SWARNA/IR 2006-P12-12-2-2;SWARNA;IR 75499-53-1;
A 69-1/IR 2344-P1 PB-9-3-2B;SWARNA;IR 2006-P12-12-2-2;
AGAMI MONT 1/SUPER BASMATI;AGAMI MONT 1;SOM CAU 70 A;
AGAMI MONT 1/WAB 56-125;AGAMI MONT 1;SUPER BASMATI;
AGAMI MONT 1/OM 4498;AGAMI MONT 1;WAB 56-125;
AGAMI MONT 1/OM 4900;AGAMI MONT 1;OM 4498;
AT 401/IRRI 123;AGAMI MONT 1;OM 4900;
AT 401/PUSA BASMATI 1;AT 401;IRRI 123;
AT 401/SADRI;AT 401;PUSA BASMATI 1;
AT 401/IR 13240-108-2-2-3;AT 401;SADRI;
AT 401/ITA 306;AT 401;IR 13240-108-2-2-3;
BAO TAI ZAO/IR 45427-2B-2-2B-1-1;AT 401;ITA 306;
BAO TAI ZAO/IR 55179-3B-11-3;BAO TAI ZAO;IR 45427-2B-2-2B-1-1;
BAO TAI ZAO/IR 64197-3B-3-1;BAO TAI ZAO;IR 55179-3B-11-3;
BAO TAI ZAO/IR 65196-3B-5-2-2;BAO TAI ZAO;IR 64197-3B-3-1;
BAO TAI ZAO/CSR 28;BAO TAI ZAO;IR 65196-3B-5-2-2;
CHA HE/IR 74099-3R-3-3;BAO TAI ZAO;CSR 28;
CHA HE/IR 73571-3B-14-1;CHA HE;IR 74099-3R-3-3;
CHA HE/SAMBHA MAHSURI;CHA HE;IR 73571-3B-14-1;
CHA HE/FH132;CHA HE;SAMBHA MAHSURI;
CHA HE/SR 26 B;CHA HE;FH132;
BR 28/SUPA;CHA HE;SR 26 B;
BR 28/SWARNA;BR 28;SUPA;
BR 28/CENTAURO;BR 28;SWARNA;
BR 28/COLOMBIA XXI;BR 28;CENTAURO;
BR 28/CT 6946-9-1-2-M-1P;BR 28;COLOMBIA XXI;
CHERIVIRUPPU/FL 1028-8P-3-2P-1P-M-2X-3P-1P;CHERIVIRUPPU;DULAR;
CIHERANG/GIZA 178;CIHERANG;GIZA 159;
CIHERANG/GOCHI BORO;CIHERANG;GIZA 178;
CIHERANG/IDSA 77;CIHERANG;GOCHI BORO;
CIHERANG/IR 2307-247-2-2-3;CIHERANG;IDSA 77;
CSR 36/IR 6;CIHERANG;IR 2307-247-2-2-3;
CSR 36/IR 64;CSR 36;IR 6;
CSR 36/IR 75499-53-1;CSR 36;IR 64;
CSR 36/IR 2006-P12-12-2-2;CSR 36;IR 75499-53-1;
CSR 36/IR 2344-P1 PB-9-3-2B;CSR 36;IR 2006-P12-12-2-2;
IR 29/N 22;CSR 36;IR 2344-P1 PB-9-3-2B;
IR 29/NERICA 2;IR 29;N 22;
IR 29/IRRI 123;IR 29;NERICA 2;
IR 29/SAKHA 104;IR 29;IRRI 123;
IR 29/SOM CAU 70 A;IR 29;SAKHA 104;
IRRI 126/SUPER BASMATI;IR 29;SOM CAU 70 A;
IRRI 126/WAB 56-125;IRRI 126;SUPER BASMATI;
IRRI 126/OM 4900;IRRI 126;OM 4498;
IRRI 126/IRRI 123;IRRI 126;OM 4900;
IR 61640-3B-14-3-3-2/PUSA BASMATI 1;IRRI 126;IRRI 123;
IR 61640-3B-14-3-3-2/SADRI;IR 61640-3B-14-3-3-2;PUSA BASMATI 1;
IR 61640-3B-14-3-3-2/IR 13240-108-2-2-3;IR 61640-3B-14-3-3-2;SADRI;
IR 61640-3B-14-3-3-2/ITA 306;IR 61640-3B-14-3-3-2;IR 13240-108-2-2-3;
IR 61640-3B-14-3-3-2/IR 45427-2B-2-2B-1-1;IR 61640-3B-14-3-3-2;ITA 306;
IR 63262-AC 201/IR 55179-3B-11-3;IR 61640-3B-14-3-3-2;IR 45427-2B-2-2B-1-1;
IR 63262-AC 201/IR 64197-3B-3-1;IR 63262-AC 201;IR 55179-3B-11-3;
IR 63262-AC 201/IR 65196-3B-5-2-2;IR 63262-AC 201;IR 64197-3B-3-1;
IR 63262-AC 201/CSR 28;IR 63262-AC 201;IR 65196-3B-5-2-2;
IR 63262-AC 201/IR 74099-3R-3-3;IR 63262-AC 201;CSR 28;
IR 07T118/IR 73571-3B-14-1;IR 63262-AC 201;IR 74099-3R-3-3;
IR 07T118/SAMBHA MAHSURI;IR 07T118;IR 73571-3B-14-1;
IR 07T118/FH132;IR 07T118;SAMBHA MAHSURI;
IR 07T118/SR 26 B;IR 07T118;FH132;
IR 07T118/SUPA;IR 07T118;SR 26 B;
KINANDANG PATONG/SWARNA;IR 07T118;SUPA;
KINANDANG PATONG/CENTAURO;KINANDANG PATONG;SWARNA;
KINANDANG PATONG/COLOMBIA XXI;KINANDANG PATONG;CENTAURO;
KINANDANG PATONG/CT 6946-9-1-2-M-1P;KINANDANG PATONG;COLOMBIA XXI;
MANAW THUKHA/FL 1028-8P-3-2P-1P-M-2X-3P-1P;KINANDANG PATONG;DULAR;
IRRI 128/GIZA 178;MANAW THUKHA;GIZA 159;
IRRI 128/GOCHI BORO;IRRI 128;GIZA 178;
IRRI 128/IDSA 77;IRRI 128;GOCHI BORO;
IRRI 128/IR 2307-247-2-2-3;IRRI 128;IDSA 77;
IRRI 128/IR 6;IRRI 128;IR 2307-247-2-2-3;
IRRI 146/IR 64;IRRI 128;IR 6;
IRRI 146/IR 75499-53-1;IRRI 146;IR 64;
IRRI 146/IR 2006-P12-12-2-2;IRRI 146;IR 75499-53-1;
IRRI 146/IR 2344-P1 PB-9-3-2B;IRRI 146;IR 2006-P12-12-2-2;
IRRI 146/N 22;IRRI 146;IR 2344-P1 PB-9-3-2B;
WAB 56-125/NERICA 2;IRRI 146;N 22;
WAB 96-1-1/IRRI 123;WAB 56-125;NERICA 2;
WAB 96-1-1/SAKHA 104;WAB 96-1-1;IRRI 123;
WAB 96-1-1/SOM CAU 70 A;WAB 96-1-1;SAKHA 104;
AZUCENA/SUPER BASMATI;WAB 96-1-1;SOM CAU 70 A;
AZUCENA/WAB 56-125;AZUCENA;SUPER BASMATI;
AZUCENA/OM 4498;AZUCENA;WAB 56-125;
AZUCENA/OM 4900;AZUCENA;OM 4498;
AZUCENA/IRRI 123;AZUCENA;OM 4900;
IR 68/PUSA BASMATI 1;AZUCENA;IRRI 123;
IR 68/SADRI;IR 68;PUSA BASMATI 1;
IR 68/IR 13240-108-2-2-3;IR 68;SADRI;
IR 68/ITA 306;IR 68;IR 13240-108-2-2-3;
IR 68/IR 45427-2B-2-2B-1-1;IR 68;ITA 306;
