N/A,IR08N136/PH 218-5-3-1,86,in standardized format,"IR08N134",IR08N134,87,in standardized format,"OM 4498",OM 4498,
N/A,IR08N136/TKM 9,88,in standardized format,"IR08N136",IR08N136,89,in standardized format,"SAN HUANG ZHAN NO 2",SAN HUANG ZHAN NO 2,
N/A,IR08N185/A 69-1,90,in standardized format,"IR08N136",IR08N136,91,in standardized format,"TKM 9",TKM 9,
N/A,IR08N185/BINADHAN 7,92,in standardized format,"IR08N185",IR08N185,93,in standardized format,"AZUCENA",AZUCENA,
N/A,IR09A104/BR 28,94,in standardized format,"IR08N185",IR08N185,95,in standardized format,"BINADHAN 7",BINADHAN 7,
N/A,IR09A104/BR 29,96,in standardized format,"IR09A104",IR09A104,97,in standardized format,"BR 28",BR 28,
N/A,IR09A104/CAPSULE,98,in standardized format,"IR09A104",IR09A104,99,in standardized format,"BR 29",BR 29,
N/A,IR09A136/CHERIVIRUPPU,100,in standardized format,"IR09A104",IR09A104,101,in standardized format,"CAPSULE",CAPSULE,
N/A,IR09A136/CSR 36,102,in standardized format,"IR09A136",IR09A136,103,in standardized format,"CHERIVIRUPPU",CHERIVIRUPPU,
N/A,IR09A136/IR 66946-3R-116-1-1,104,in standardized format,"IR09A136",IR09A136,105,in standardized format,"CSR 36",CSR 36,
N/A,IR09N274/IR 66946-3R-149-1-1,106,in standardized format,"IR09A136",IR09A136,107,"IR 66946-3R^-116-1-1	;string pattern not recognized. #",N/A,IR 66946-3R-116-1-1,
N/A,IR09N274/IR 29,108,in standardized format,"IR09N274",IR09N274,109,"IR 66946-3R^-149-1-1	;string pattern not recognized. #",N/A,IR 66946-3R-149-1-1,
N/A,IR09N274/IR 55179-3B-11-3,110,in standardized format,"IR09N274",IR09N274,111,in standardized format,"IR 29",IR 29,
N/A,IR09N473/IR03W134,112,in standardized format,"IR09N274",IR09N274,113,in standardized format,"IR 55179#IR 55179-3B#IR 55179-3B-11#IR 55179-3B-11-3",IR 55179-3B-11-3,
N/A,IR09N473/IR 87969-B-SDO 6-3-2-B,114,in standardized format,"IR09N473",IR09N473,115,in standardized format,"IR03W134",IR03W134,
N/A,IR09N473/IR06M139,116,in standardized format,"IR09N473",IR09N473,117,"IR 87969-B-SDO 6^-3-2-B	;string pattern not recognized. #",N/A,IR 87969-B-SDO 6-3-2-B,
N/A,IR09N499/IR06M143,118,in standardized format,"IR09N473",IR09N473,119,in standardized format,"IR06M139",IR06M139,
N/A,IR09N499/IR 58443-6B-10-3,120,in standardized format,"IR09N499",IR09N499,121,in standardized format,"IR06M143",IR06M143,
N/A,IR09N499/IRRI 147,122,in standardized format,"IR09N499",IR09N499,123,in standardized format,"IR 58443#IR 58443-6B#IR 58443-6B-10#IR 58443-6B-10-3",IR 58443-6B-10-3,
N/A,IR09N500/IR 70023-4B-R-12-3-1,124,in standardized format,"IR09N499",IR09N499,125,in standardized format,"IRRI 147",IRRI 147,
N/A,IR09N500/IRRI 165,126,in standardized format,"IR09N500",IR09N500,127,in standardized format,"IR 70023#IR 70023-4B#IR 70023-4B-R#IR 70023-4B-R-12#IR 70023-4B-R-12-3#IR 70023-4B-R-12-3-1",IR 70023-4B-R-12-3-1,
N/A,IR09N500/IR10F339,128,in standardized format,"IR09N500",IR09N500,129,in standardized format,"IRRI 165",IRRI 165,
N/A,IR09N522/IR10F365,130,in standardized format,"IR09N500",IR09N500,131,in standardized format,"IR10F339",IR10F339,
N/A,IR09N522/IR10F469,132,in standardized format,"IR09N522",IR09N522,133,in standardized format,"IR10F365",IR10F365,
N/A,IR09N522/IR10F501,134,in standardized format,"IR09N522",IR09N522,135,in standardized format,"IR10F469",IR10F469,
N/A,IR09N542/IR10F548,136,in standardized format,"IR09N522",IR09N522,137,in standardized format,"IR10F501",IR10F501,
N/A,IR09N542/IR10F558,138,in standardized format,"IR09N542",IR09N542,139,in standardized format,"IR10F548",IR10F548,
N/A,IR09N542/IR10F595,140,in standardized format,"IR09N542",IR09N542,141,in standardized format,"IR10F558",IR10F558,
N/A,IR10F290/IR10F616,142,in standardized format,"IR09N542",IR09N542,143,in standardized format,"IR10F595",IR10F595,
N/A,IR10F290/IR10F627,144,in standardized format,"IR10F290",IR10F290,145,in standardized format,"IR10F616",IR10F616,
N/A,IR10F290/IR10F629,146,in standardized format,"IR10F290",IR10F290,147,in standardized format,"IR10F627",IR10F627,
N/A,IR10F388/IR10F630,148,in standardized format,"IR10F290",IR10F290,149,in standardized format,"IR10F629",IR10F629,
N/A,IR10F388/IR10F699,150,in standardized format,"IR10F388",IR10F388,151,in standardized format,"IR10F630",IR10F630,
N/A,IR10F388/ASD 1,152,in standardized format,"IR10F388",IR10F388,153,in standardized format,"IR10F699",IR10F699,
N/A,IR10M122/CIHERANG,154,in standardized format,"IR10F388",IR10F388,155,in standardized format,"ASD 1",ASD 1,
N/A,IR10M122/INMAYEBAW,156,in standardized format,"IR10M122",IR10M122,157,in standardized format,"CIHERANG",CIHERANG,
N/A,IR10M122/IR06F148,158,in standardized format,"IR10M122",IR10M122,159,in standardized format,"INMAYEBAW",INMAYEBAW,
N/A,IR10M144/IR06F393,160,in standardized format,"IR10M122",IR10M122,161,in standardized format,"IR06F148",IR06F148,
N/A,IR10M144/IR06F459,162,in standardized format,"IR10M144",IR10M144,163,in standardized format,"IR06F393",IR06F393,
N/A,IR10M144/IRRI 149,164,in standardized format,"IR10M144",IR10M144,165,in standardized format,"IR06F459",IR06F459,
N/A,IR10N105/IR07F297,166,in standardized format,"IR10M144",IR10M144,167,in standardized format,"IRRI 149",IRRI 149,
N/A,IR10N105/IR10F221,168,in standardized format,"IR10N105",IR10N105,169,in standardized format,"IR07F297",IR07F297,
N/A,IR10N105/IR10F379,170,in standardized format,"IR10N105",IR10N105,171,in standardized format,"IR10F221",IR10F221,
N/A,IR10N108/IR10F382,172,in standardized format,"IR10N105",IR10N105,173,in standardized format,"IR10F379",IR10F379,
N/A,IR10N108/IR10F388,174,in standardized format,"IR10N108",IR10N108,175,in standardized format,"IR10F382",IR10F382,
N/A,IR10N108/IR10F402,176,in standardized format,"IR10N108",IR10N108,177,in standardized format,"IR10F388",IR10F388,
N/A,IR10N184/IR 87707-446-B-B-B,178,in standardized format,"IR10N108",IR10N108,179,in standardized format,"IR10F402",IR10F402,
N/A,IR10N226/IR 93312-30-101-20-3-66-6,180,in standardized format,"IR10N225",IR10N225,181,in standardized format,"IR 93312#IR 93312-30#IR 93312-30-101#IR 93312-30-101-20#IR 93312-30-101-20-13#IR 93312-30-101-20-13-64#IR 93312-30-101-20-13-64-21",IR 93312-30-101-20-13-64-21,
N/A,IR10N226/IR10L137,182,in standardized format,"IR10N226",IR10N226,183,in standardized format,"IR 93312#IR 93312-30#IR 93312-30-101#IR 93312-30-101-20#IR 93312-30-101-20-3#IR 93312-30-101-20-3-66#IR 93312-30-101-20-3-66-6",IR 93312-30-101-20-3-66-6,
N/A,IR10N226/IR10L149,184,in standardized format,"IR10N226",IR10N226,185,in standardized format,"IR10L137",IR10L137,
N/A,IR10N277/IR 50,186,in standardized format,"IR10N226",IR10N226,187,in standardized format,"IR10L149",IR10L149,
N/A,IR10N277/IR 66,188,in standardized format,"IR10N277",IR10N277,189,in standardized format,"IR 50",IR 50,
N/A,IR10N277/KALA RATA 1-24,190,in standardized format,"IR10N277",IR10N277,191,in standardized format,"IR 66",IR 66,
N/A,IR10N303/KHAIYAN,192,in standardized format,"IR10N277",IR10N277,193,in standardized format,"KALA RATA 1#KALA RATA 1-24",KALA RATA 1-24,
N/A,IR10N303/KHO,194,in standardized format,"IR10N303",IR10N303,195,in standardized format,"KHAIYAN",KHAIYAN,
N/A,IR10N303/IR 97703-457-42-13,196,in standardized format,"IR10N303",IR10N303,197,in standardized format,"KHO",KHO,
N/A,IR10N304/IR 97703-468-21-39,198,in standardized format,"IR10N303",IR10N303,199,in standardized format,"IR 97703#IR 97703-457#IR 97703-457-42#IR 97703-457-42-13",IR 97703-457-42-13,
N/A,IR10N304/MANAWTHUKHA,200,in standardized format,"IR10N304",IR10N304,201,in standardized format,"IR 97703#IR 97703-468#IR 97703-468-21#IR 97703-468-21-39",IR 97703-468-21-39,
N/A,IR10N304/IRRI 127,202,in standardized format,"IR10N304",IR10N304,203,in standardized format,"MANAWTHUKHA",MANAWTHUKHA,
N/A,PR 30245-10-414/IRRI 134,204,in standardized format,"IR10N304",IR10N304,205,in standardized format,"IRRI 127",IRRI 127,
N/A,IRRI 146/IR10F379,206,in standardized format,"IRRI 146",IRRI 146,207,in standardized format,"IR10F221",IR10F221,
N/A,IRRI 154/IR10F382,208,in standardized format,"IRRI 146",IRRI 146,209,in standardized format,"IR10F379",IR10F379,
N/A,IRRI 154/IR10F388,210,in standardized format,"IRRI 154",IRRI 154,211,in standardized format,"IR10F382",IR10F382,
N/A,IRRI 104/IR10F402,212,in standardized format,"IRRI 154",IRRI 154,213,in standardized format,"IR10F388",IR10F388,
N/A,IRRI 104/IR 87707-446-B-B-B,214,in standardized format,"IRRI 104",IRRI 104,215,in standardized format,"IR10F402",IR10F402,
N/A,IRRI 105/IR 88633:1-66-B-1-B,216,in standardized format,"IRRI 104",IRRI 104,217,in standardized format,"IR 87707#IR 87707-446#IR 87707-446-B#IR 87707-446-B-B#IR 87707-446-B-B-B",IR 87707-446-B-B-B,
N/A,IR05F102/IR 93312-30-101-20-3-66-6,218,in standardized format,"IR05F102",IR05F102,219,in standardized format,"IR 93312#IR 93312-30#IR 93312-30-101#IR 93312-30-101-20#IR 93312-30-101-20-13#IR 93312-30-101-20-13-64#IR 93312-30-101-20-13-64-21",IR 93312-30-101-20-13-64-21,
N/A,IR07F291/IR10L137,220,in standardized format,"IR05F102",IR05F102,221,in standardized format,"IR 93312#IR 93312-30#IR 93312-30-101#IR 93312-30-101-20#IR 93312-30-101-20-3#IR 93312-30-101-20-3-66#IR 93312-30-101-20-3-66-6",IR 93312-30-101-20-3-66-6,
N/A,IR07F291/IR10L149,222,in standardized format,"IR07F291",IR07F291,223,in standardized format,"IR10L137",IR10L137,
N/A,IR09F173/IR 50,224,in standardized format,"IR07F291",IR07F291,225,in standardized format,"IR10L149",IR10L149,
N/A,IR09F173/IR 66,226,in standardized format,"IR09F173",IR09F173,227,in standardized format,"IR 50",IR 50,
